
Epoch [1/200] - Train Loss: 0.9705, Validation Loss: 0.0000, Time: 254.3346s
Epoch [1/200] - Train Loss: 1.0709, Validation Loss: 0.9492, Time: 258.3359s
Epoch [2/200] - Train Loss: 0.9596, Validation Loss: 0.9173, Time: 258.3478s
Epoch [3/200] - Train Loss: 0.9353, Validation Loss: 0.9017, Time: 261.1266s
Epoch [4/200] - Train Loss: 0.9195, Validation Loss: 0.8975, Time: 233.5226s
Epoch [5/200] - Train Loss: 0.9107, Validation Loss: 0.8897, Time: 230.8927s
Epoch [6/200] - Train Loss: 0.9062, Validation Loss: 0.8890, Time: 257.5190s
Epoch [7/200] - Train Loss: 0.8983, Validation Loss: 0.8758, Time: 217.3493s
Epoch [8/200] - Train Loss: 0.8900, Validation Loss: 0.8709, Time: 250.9282s
Epoch [9/200] - Train Loss: 0.8848, Validation Loss: 0.8810, Time: 262.9256s
Epoch [10/200] - Train Loss: 0.8834, Validation Loss: 0.8708, Time: 263.3986s
Epoch [11/200] - Train Loss: 0.8870, Validation Loss: 0.8762, Time: 232.5051s
Epoch [12/200] - Train Loss: 0.8787, Validation Loss: 0.8724, Time: 250.9532s
Epoch [13/200] - Train Loss: 0.8740, Validation Loss: 0.8600, Time: 249.0486s
Epoch [14/200] - Train Loss: 0.8723, Validation Loss: 0.8621, Time: 227.5080s
Epoch [15/200] - Train Loss: 0.8713, Validation Loss: 0.8686, Time: 227.3406s
Epoch [16/200] - Train Loss: 0.8682, Validation Loss: 0.8615, Time: 221.5995s
Epoch [17/200] - Train Loss: 0.8715, Validation Loss: 0.8610, Time: 225.7371s
Epoch [18/200] - Train Loss: 0.8629, Validation Loss: 0.8638, Time: 222.7629s
Epoch [19/200] - Train Loss: 0.8649, Validation Loss: 0.8607, Time: 235.1230s
Epoch [20/200] - Train Loss: 0.8624, Validation Loss: 0.8546, Time: 224.8526s
Epoch [21/200] - Train Loss: 0.8601, Validation Loss: 0.8549, Time: 233.4734s
Epoch [22/200] - Train Loss: 0.8582, Validation Loss: 0.8538, Time: 221.7882s
Epoch [23/200] - Train Loss: 0.8626, Validation Loss: 0.8546, Time: 231.7599s
Epoch [24/200] - Train Loss: 0.8664, Validation Loss: 0.8555, Time: 230.6802s
Epoch [25/200] - Train Loss: 0.8488, Validation Loss: 0.8386, Time: 225.8420s
Epoch [25/200] - Train Loss: 0.8596, Validation Loss: 0.8478, Time: 243.8164s
Epoch [26/200] - Train Loss: 0.8433, Validation Loss: 0.8400, Time: 231.9906s
Epoch [27/200] - Train Loss: 0.8383, Validation Loss: 0.8347, Time: 263.4023s
Epoch [28/200] - Train Loss: 0.8336, Validation Loss: 0.8340, Time: 264.5046s
Epoch [29/200] - Train Loss: 0.8315, Validation Loss: 0.8330, Time: 265.2508s
Epoch [30/200] - Train Loss: 0.8299, Validation Loss: 0.8325, Time: 265.5816s
Epoch [31/200] - Train Loss: 0.8285, Validation Loss: 0.8325, Time: 215.7257s
Epoch [32/200] - Train Loss: 0.8273, Validation Loss: 0.8324, Time: 262.8455s
Epoch [33/200] - Train Loss: 0.8258, Validation Loss: 0.8330, Time: 263.3609s
Epoch [34/200] - Train Loss: 0.8243, Validation Loss: 0.8323, Time: 265.9603s
Epoch [35/200] - Train Loss: 0.8226, Validation Loss: 0.8345, Time: 265.2128s
Epoch [36/200] - Train Loss: 0.8211, Validation Loss: 0.8339, Time: 266.0919s
